Id,Name,Shape Library,Page ID,Contained By,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,Page 1
2,Rectangle Container,Flowchart Shapes,1,,,,,,
3,Actor,UML,1,,,,,,Customer
4,Actor,UML,1,,,,,,Employee
5,Actor,UML,1,,,,,,Admin
6,Text,Default,1,,,,,,"Authorization
"
7,Use Case,UML,1,2,,,,,Register
8,Use Case,UML,1,2,,,,,Login
9,Use Case,UML,1,2,,,,,Edit Profile
10,Rectangle Container,Flowchart Shapes,1,,,,,,
11,Text,Default,1,10,,,,,"Management
"
12,Use Case,UML,1,10,,,,,Ban Customer
13,Use Case,UML,1,10,,,,,Charge Company's Account
14,Use Case,UML,1,10,,,,,Upgrade Customer to Employee
15,Use Case,UML,1,10,,,,,Charge Employee's Salary   
16,Use Case,UML,1,10,,,,,Add Costum Requests
17,Use Case,UML,1,10,,,,,View Own Transactions History
18,Use Case,UML,1,10,,,,,View Transaction Details
19,Use Case,UML,1,10,,,,,View All Transactions History
20,Use Case,UML,1,10,,,,,View All Transaction Details
21,Use Case,UML,1,10,,,,,View Customer List
22,Use Case,UML,1,10,,,,,View Customer Activity
23,Use Case,UML,1,10,,,,,View Balance Report
24,Use Case,UML,1,10,,,,,View Turnover Report
25,Rectangle Container,Flowchart Shapes,1,,,,,,
26,Text,Default,1,,,,,,"Financial
"
27,Use Case,UML,1,25,,,,,View Currency Balance
28,Use Case,UML,1,25,,,,,View Currency Balance
29,Use Case,UML,1,25,,,,,Charge Wallet
30,Use Case,UML,1,25,,,,,Convert Currencies
31,Use Case,UML,1,25,,,,,View Convert Information
32,Use Case,UML,1,25,,,,,Transfer to International Account
33,Use Case,UML,1,25,,,,,Transfer to Internal Account
34,Use Case,UML,1,10,,,,,Contact Admin
35,Line,,1,,4,3,None,Generalization,
36,Line,,1,,5,4,None,Generalization,
37,Line,,1,,3,7,None,Arrow,
38,Line,,1,,3,8,None,Arrow,
39,Line,,1,,,9,None,Arrow,
40,Line,,1,,4,19,None,Arrow,
41,Line,,1,,,20,None,Arrow,
42,Line,,1,,3,17,None,Arrow,
43,Line,,1,,3,18,None,Arrow,
44,Line,,1,,5,14,None,Arrow,
45,Line,,1,,,15,None,Arrow,
46,Line,,1,,,13,None,Arrow,
47,Line,,1,,,16,None,Arrow,
48,Line,,1,,,12,None,Arrow,
49,Line,,1,,,21,None,Arrow,
50,Line,,1,,,22,None,Arrow,
51,Line,,1,,,23,None,Arrow,
52,Line,,1,,,24,None,Arrow,
53,Line,,1,,,34,None,Arrow,